,0,1,2,3,4,5,6,7,8,9
1,0,15757.691,20200.259,9517.668,5588.854,3281.488,1430.209,602.955,2102.554,3211.456
2,,0,16003.499,7219.197,10221.031,16325.271,14506.486,15335.957,14980.056,12922.931
3,,,0,10690.484,14613.552,17521.518,18775.121,19602.263,18111.885,16995.134
4,,,,0,3935.293,9116.024,8090.510,8918.813,7771.222,6312.530
5,,,,,0,6110.833,4293.502,5123.067,4768.923,2710.056
6,,,,,,0,1855.580,2682.569,1358.796,3413.036
7,,,,,,,0,833.430,674.828,1784.512
8,,,,,,,,0,1500.825,2613.997
9,,,,,,,,,0,2062.251
10,,,,,,,,,,0
